last,first,instructor_avg,course_avg,overall_avg,courses,confidence
Sobers,Courtney,4.8,4.6,4.699999999999999,"['CHEM240', 'CHEM539', 'CHEM237', 'IPRO497']",1
Solheim,Michael,4.5,3.75,4.125,['MAX521'],1
Soncrant,Craig,3.4,2.4,2.9,['LA514'],1
Soneru,Marius,4.31,4.21,4.26,"['CS455', 'CS548', 'CS542', 'CS595']",11
Song,Guohui,3.98,3.99,3.9850000000000003,"['MATH151', 'MATH152', 'MATH474']",4
Sorrell,Lynsey,4.09,4.0,4.045,"['ARCH305', 'ARCH306', 'ARCH543', 'ARCH544']",4
Sosa,Erica,4.98,4.5,4.74,"['PESL061', 'PESL021', 'PESL032', 'PESL062']",4
Spenko,Matthew,4.1,4.1,4.1,"['MMAE305', 'MMAE540', 'MMAE432', 'MMAE232']",13
Spentzouris,Linda,4.24,4.04,4.140000000000001,"['PHYS123', 'PHYS505', 'PHYS414', 'PHYS413', 'PHYS221', 'PHYS507']",9
Spink,Aaron,4.38,3.98,4.18,"['HUM204', 'PHIL302', 'PHIL311']",8
Spink,Kathryn,4.12,4.08,4.1,"['BIOL109', 'BIOL410', 'BIOL445', 'BIOL210', 'BIOL225', 'BIOL327', 'BIOL503', 'BIOL117', 'BIOL542', 'BIOL107']",38
Spyrison,Scott,4.8,4.69,4.745,"['ITMD415', 'ITMD510', 'ITMD515', 'IT']",6
Sriraj,P,4.3,4.29,4.295,"['CAE548', 'CAE546', 'CAE545']",11
Srivastava,Ankit,4.6,4.42,4.51,"['MMAE200', 'MMAE202', 'MMAE535']",5
Stabin,Michael,,,,['PHYS576'],
Stanard,Steven,4.73,4.51,4.62,"['PSYC221', 'PSYC301', 'PSYC489', 'PSYC238', 'PSYC588', 'PSYC720', 'IPRO497', 'PSYC722', 'PSYC222', 'PSYC380', 'PSYC100']",25
Stark,Benjamin,4.8,4.55,4.675,"['BIOL214', 'BIOL542', 'BIOL515', 'BIOL576', 'BIOL495', 'BIOL501', 'BIOL533', 'BIOL451']",20
Stasi,Despina,,,,"['MATH152', 'MATH410', 'MATH563']",
Steffenson,Rebecca,4.57,4.4,4.485,"['PS220', 'PS100', 'PS313', 'PS486', 'LCHS100', 'SSCI220', 'IPRO497', 'SSCI486']",7
Stein,Jordan,3.48,3.17,3.325,"['PSYC203', 'PSYC502', 'PSYC301']",4
Steinberg,Marilyn,4.19,4.24,4.215,"['PSYC221', 'PSYC303']",2
Stephens,Brent,4.66,4.63,4.645,"['CAE463', 'ENVE576', 'CAE331']",10
Stern,Samantha,,,,"['PSYC221', 'PSYC411']",
Stickney,Laurie,4.46,4.46,4.46,"['PSYC221', 'PSYC303']",2
Stirling,Susan,4.47,4.06,4.265,['IPRO100'],1
Stobbe,Gregory,4.55,4.64,4.595,['INTM425'],1
Stolley,Karl,4.67,4.32,4.495,"['COM521', 'COM542', 'COM532', 'COM535', 'COM530', 'COM580', 'COM380', 'COM531', 'COM381', 'COM541', 'COM327', 'COM201', 'COM425', 'COM529', 'IT', 'ITMD362', 'COM331']",16
Stoner,John,3.6,3.45,3.5250000000000004,"['IPRO497', 'BUS341', 'BUS402']",11
Straus,Kenneth,2.63,3.0,2.815,['ITM312'],1
Strumendo,Matteo,4.28,3.39,3.835,['CHE439'],1
Stuart,Edward,4.81,4.64,4.725,"['ECON152', 'ECON151', 'ECON211', 'BUS452']",17
Stutzki,Christian,4.14,3.76,3.9499999999999997,"['ARCH486', 'ARCH485', 'ARCH509']",7
Sullivan,Zack,4.21,3.95,4.08,"['PHYS553', 'PHYS545', 'PHYS546', 'PHYS123', 'IPRO497', 'PHYS404']",4
Sun,Jiong,4.52,4.45,4.484999999999999,"['BUS321', 'MSF503', 'BUS221', 'BUS550', 'BUS497', 'MSC642']",15
Sun,Xian-He,4.38,4.5,4.4399999999999995,"['CS546', 'CS570']",3
Supangkat,Hendrarto,4.16,4.19,4.175000000000001,"['BUS221', 'BUS305']",2
Surdenik,Christopher,4.32,3.79,4.055,['BUS104'],1
Surjan,Terry,3.94,4.11,4.025,"['ARCH417', 'ARCH418', 'ARCH497']",3
Susorova,Irina,4.4,4.4,4.4,['CAE450'],1
Suzuki,Kenji,4.44,4.62,4.53,"['ECE566', 'ECE565']",4
Swenson,Lasalle,4.55,4.45,4.5,['CHEM125'],1
Szobocsan,John,4.8,4.73,4.765000000000001,['MSF535'],7
Takeuchi,Arthur,,,,['ARCH417'],
Talesnik,Daniel,,,,"['ARCH500', 'ARCH602', 'ARCH321']",
Tanner,Martha,3.88,3.76,3.82,"['CHEM100', 'CHEM124', 'CHEM125', 'CHEM416', 'CHEM122', 'CHEM415']",9
Tapia,Elizabeth,4.0,4.0,4.0,['HUM106'],1
Tari,Canan,3.36,3.55,3.455,['BIOL404'],1
Tatara,Eric,4.5,4.5,4.5,['CHE560'],1
TBA,Faculty,3.31,3.42,3.365,"['IPMM506', 'ARCH418']",2
Teer,Marc,3.51,3.24,3.375,['ARCH497'],4
Telman,Ashley,4.84,4.63,4.734999999999999,"['COM111', 'COM101']",12
Temples,Alisha,4.0,4.18,4.09,['AS202'],1
Ternovits,Scott,,,,['IPRO397'],
Terry,Jeffrey,3.76,3.43,3.5949999999999998,"['PHYS240', 'CHEM509', 'PHYS348', 'PHYS537', 'PHYS538', 'PHYS200', 'PHYS440', 'PHYS221', 'IPRO497']",12
Terschak,John,4.83,4.47,4.65,"['CHEM321', 'CHEM237', 'CHEM451', 'CHEM410']",3
Terzakis,Jill,4.1,3.9,4.0,"['PS354', 'PS214']",1
Teymour,Fouad,4.41,4.22,4.3149999999999995,"['CHE423', 'CHE538', 'CHE433', 'CHE100', 'CHE101', 'CHE525', 'CHE435', 'IPRO497']",16
Thadhani,Monika,4.75,4.63,4.6899999999999995,['ARCH497'],1
Thakkar,Bharat,3.56,3.33,3.4450000000000003,['MMAE305'],1
Thilges,Sarah,4.19,4.05,4.12,"['PSYC303', 'PSYC380', 'PSYC512', 'PSYC523']",3
Thomopoulos,Nick,4.57,4.71,4.640000000000001,"['MSC530', 'MSC538']",1
Thompson,Katherine,4.78,4.67,4.725,"['COM125', 'COM126', 'COM225', 'LIT380', 'HUM200']",7
Tichauer,Kenneth,4.69,4.5,4.595000000000001,"['BME330', 'BME437', 'BME422']",7
Tier,Charles,4.47,4.32,4.395,"['MATH152', 'MATH252', 'MATH486', 'MATH151', 'MATH251', 'MATH333', 'MATH523', 'MATH332']",25
Tijunelis,D,4.39,4.21,4.3,"['INTM433', 'IPRO497', 'INTM460', 'INTM497']",5
Tijunelis,D,4.39,4.21,4.3,"['INTM433', 'IPRO497', 'INTM460', 'INTM497']",5
Tillman,Gerve,,,,"['AS101', 'AS302']",
Timofeeva,Elena,,,,['CHEM416'],
Tin,Sammy,4.62,4.44,4.53,"['MMAE370', 'MMAE485', 'MMAE593', 'MMAE566', 'MMAE372', 'MMAE472', 'MMAE373']",23
Tinucci,Andrew,4.79,4.49,4.640000000000001,"['ARCH305', 'ARCH306', 'ARCH497', 'ARCH417', 'ARCH418']",9
Tomal,Daniel,4.4,4.34,4.37,"['IPRO497', 'INTM301', 'INTM319', 'INT301']",22
Torun,Yagmur,3.85,3.55,3.7,"['PHYS224', 'PHYS300', 'PHYS221', 'PHYS223', 'PHYS413', 'PHYS240', 'PHYS414']",15
Tourk,Khairy,4.34,4.25,4.295,"['ECON570', 'MBA505', 'MBA543', 'MBA544', 'MBA502', 'ECON211']",5
Tower,Addison,4.7,4.3,4.5,"['AS201', 'AS402']",1
Trantowski,Kenneth,,,,['MC534'],
Tresser,Thomas,3.54,3.51,3.525,['PSYC380'],2
Troyk,Philip,3.62,3.78,3.7,"['IPRO497', 'BME443', 'BME405']",8
